Minute,Fraction
440,0.447623
441,0.447623
442,0.447623
443,0.447623
519,0.590448
520,0.590448
521,0.590448
550,0.467898
551,0.467898
552,0.467898
553,0.467898
554,0.467898
555,0.467898
556,0.467898
557,0.467898
558,0.467898
559,0.467898
560,0.467898
561,0.467898
562,0.467898
563,0.467898
929,0.50642
930,0.50642
931,0.50642
932,0.50642
933,0.50642
934,0.50642
935,0.50642
936,0.50642
937,0.50642
938,0.50642
939,0.50642
940,0.50642
1262,0.537058
1263,0.537058
1264,0.537058
1265,0.537058
1266,0.537058
1267,0.537058
1268,0.537058
1269,0.537058
1426,0.39626
1427,0.39626
1428,0.39626
1429,0.39626
1430,0.39626
1431,0.39626
1432,0.39626
1433,0.39626
1434,0.39626
1435,0.39626
1457,0.203649
1458,0.203649
1459,0.203649
1460,0.203649
1461,0.203649
1462,0.203649
1463,0.203649
1464,0.203649
2175,0.334535
2176,0.334535
2177,0.334535
2178,0.334535
3438,0.534129
3439,0.534129
3440,0.534129
3441,0.534129
3442,0.534129
3443,0.534129
3444,0.534129
3445,0.534129
3446,0.534129
3447,0.534129
3448,0.534129
3449,0.534129
3450,0.534129
3451,0.534129
3452,0.534129
3453,0.534129
3454,0.534129
3455,0.534129
3456,0.534129
3457,0.534129
3972,0.320117
3973,0.320117
3974,0.320117
3975,0.320117
3976,0.320117
4729,0.560712
4730,0.560712
4731,0.560712
4732,0.560712
4733,0.560712
4734,0.560712
4735,0.560712
6206,0.412931
6207,0.412931
6208,0.412931
6209,0.412931
6210,0.412931
6211,0.412931
6212,0.412931
6213,0.412931
6214,0.412931
6215,0.412931
6216,0.412931
8107,0.549223
8108,0.549223
8109,0.549223
8110,0.549223
8111,0.549223
8307,0.1836
8308,0.1836
8309,0.1836
8310,0.1836
9024,0.54697
9025,0.54697
9026,0.54697
9027,0.54697
9028,0.54697
9029,0.54697
9030,0.54697
9031,0.54697
9055,0.615904
9056,0.615904
9057,0.615904
9058,0.615904
9059,0.615904
9060,0.615904
9061,0.615904
9062,0.615904
9063,0.615904
9064,0.615904
11399,0.359766
11400,0.359766
11401,0.359766
11402,0.359766
11403,0.359766
11404,0.359766
11405,0.359766
11406,0.359766
11407,0.359766
11408,0.359766
11409,0.359766
14786,0.401667
14787,0.401667
14788,0.401667
14789,0.401667
14790,0.401667
